rest_key,rest_coop,reporting_day,daypart_name,daypart_description,daypart_sales,daypart_transaction_qty,Weekday
1364,SEA/TCA WA CP-0024,2011-01-17,AFTER 4PM,4PM - Close,1375.82,228,Monday
1364,SEA/TCA WA CP-0024,2011-01-17,AFTERNOON,2PM - 4PM,630.43,102,Monday
1364,SEA/TCA WA CP-0024,2011-01-17,BREAKFAST,Open - 10:30AM (11AM weekend),614.44,154,Monday
1364,SEA/TCA WA CP-0024,2011-01-17,DINNER,4PM - 9PM,1069.5,178,Monday
1364,SEA/TCA WA CP-0024,2011-01-17,EVENING,9PM - Close,306.32,50,Monday
1364,SEA/TCA WA CP-0024,2011-01-17,LATE NIGHT,11PM - 5AM,0.0,0,Monday
1364,SEA/TCA WA CP-0024,2011-01-17,LUNCH,11AM -  2PM,1096.77,159,Monday
1364,SEA/TCA WA CP-0024,2011-01-17,MORNING,Open - 11AM,694.61,170,Monday
1364,SEA/TCA WA CP-0024,2011-01-17,REGULAR MENU,10:30AM (11AM weekend) - Close,3183.19,505,Monday
1364,SEA/TCA WA CP-0024,2011-01-17,TOTAL DAY,All hours,3797.63,659,Monday
1364,SEA/TCA WA CP-0024,2011-01-18,AFTER 4PM,4PM - Close,1468.26,258,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-18,AFTERNOON,2PM - 4PM,491.91,98,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-18,BREAKFAST,Open - 10:30AM (11AM weekend),858.79,213,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-18,DINNER,4PM - 9PM,1179.18,206,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-18,EVENING,9PM - Close,289.08,52,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-18,LATE NIGHT,11PM - 5AM,0.0,0,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-18,LUNCH,11AM -  2PM,1112.72,195,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-18,MORNING,Open - 11AM,910.26,223,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-18,REGULAR MENU,10:30AM (11AM weekend) - Close,3124.36,561,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-18,TOTAL DAY,All hours,3983.15,774,Tuesday
1364,SEA/TCA WA CP-0024,2011-01-19,AFTER 4PM,4PM - Close,1425.06,239,Wednesday
1364,SEA/TCA WA CP-0024,2011-01-19,AFTERNOON,2PM - 4PM,349.63,78,Wednesday
1364,SEA/TCA WA CP-0024,2011-01-19,BREAKFAST,Open - 10:30AM (11AM weekend),751.23,206,Wednesday
